n,v
0,4
1,4.24264
2,4.47214
3,4.69042
4,4.89898
5,5.09902
6,5.2915
7,5.47723
8,5.65685
9,5.83095
10,6
11,5.74456
12,5.47723
13,5.36529
14,5.34729
15,5.32292
16,5.29135
17,5.25753
18,5.28516
19,5.31357
20,5.47212
21,5.65191
22,5.82615
23,5.99534
24,6.15987
25,6.32013
26,6.47642
27,6.62903
28,6.7782
29,6.92416
30,7.06711
31,7.20722
32,7.34466
33,7.47958
34,7.6121
35,7.41243
36,7.20722
37,6.996
38,6.7782
39,6.55317
40,6.32013
41,6.07816
42,5.82615
43,5.56274
44,5.47558
45,5.50166
46,5.52522
47,5.5115
48,5.48816
49,5.46758
50,5.45156
51,5.43271
52,5.43777
53,5.44033
54,5.46604
55,5.51205
56,5.55616
57,5.59944
58,5.64101
59,5.69881
60,5.76575
61,5.83091
62,5.89111
63,5.95082
64,6.02483
65,6.10425
66,6.18514
67,6.26907
68,6.35442
69,6.45383
70,6.55816
71,6.67653
72,6.81539
73,6.96152
74,7.10371
75,7.24312
76,7.37989
77,7.51417
78,7.64609
79,7.77578
80,7.90334
