n,v
0,4
1,3.99048
2,3.97029
3,3.93722
4,3.88212
5,3.83481
6,3.83533
7,3.9135
8,4.05839
9,4.23684
10,4.4041
11,4.55208
12,4.68337
13,4.79589
14,4.86902
15,4.88052
16,4.82348
17,4.71075
18,4.56557
19,4.43496
20,4.33847
21,4.26973
22,4.26625
23,4.32322
24,4.41462
25,4.52573
26,4.66786
27,4.83873
28,5.03042
29,5.23455
30,5.44395
31,5.65267
32,5.85533
33,6.04701
34,6.22279
35,6.37763
36,6.50608
37,6.60227
38,6.66139
39,6.68233
40,6.67594
41,6.65414
42,6.62303
43,6.5833
44,6.53082
45,6.4607
46,6.37123
47,6.26921
48,6.16646
49,6.07481
50,5.99967
